type,alcool,sulphites,pH,densite,chlorure,sucre_residuel,acide_citrique,acidite_volatile,acidite_non_volatile,dioxyde_souffre_total,dioxyde_souffre_libre,qualite
NA,NA,0.44,3.09,0.997,0.094,11.8,0.3,0.45,6.8,97,23,5
NA,8.9,0.54,3.08,0.99732,0.035,NA,0.49,0.285,6.6,137,57,6
blanc,12.7,0.41,3.32,0.98952,0.042,2.3,0.27,0.31,6,120,19,7
blanc,12.9,0.41,3.41,0.98892,0.03,NA,0.3,0.3,5.9,142,38,7
NA,NA,0.64,3.44,0.998,0.079,2.2,0.4,0.4,8.8,52,19,5
blanc,13.4,0.22,3.19,NA,0.02,8.55,0.36,0.21,6.7,86,20,7
NA,9,0.44,3.34,0.9949,0.029,4.6,0.27,0.14,5.5,104,22,5
blanc,10.9,0.35,3.31,0.9911,0.045,NA,0.35,0.18,6.4,108,39,6
NA,11,0.38,3.08,0.99442,0.021,8.8,0.27,0.31,7.6,156,57,7
blanc,NA,0.44,3.23,0.9925,0.055,4.4,0.27,0.3,6.4,135,17,6
NA,12,0.85,3.17,0.999,0.074,6.55,0.73,0.44,10.4,76,38,7
NA,12.4,0.41,3.14,0.99272,0.028,8.2,0.36,0.17,7.3,111,44,6
blanc,NA,0.64,3.27,0.992,0.037,2.2,0.29,0.24,7.2,102,37,7
blanc,13.2,0.57,3.15,0.99062,0.035,NA,0.23,0.44,7.1,100,24,7
NA,8.8,0.51,2.94,NA,0.041,6.6,0.2,0.315,6.5,126,9,5
NA,13.1,0.43,3.03,0.99018,0.035,4.6,1.23,0.25,7.6,294,51,6
rouge,9.6,0.54,3.23,NA,0.084,2.9,0.17,0.64,8.8,130,25,5
NA,10.7,0.47,3.23,0.9944,0.036,2.5,0.43,0.49,8.3,116,32,6
NA,NA,0.4,3.26,0.99,0.035,1.7,0.33,0.24,6.9,136,47,7
NA,11.5,0.6,3.36,0.99114,0.029,1.4,0.33,0.18,6.5,138,35,7
blanc,10.6,0.72,3.16,0.99505999999999994,0.062,NA,0.28,0.38,6.9,166,22,5
NA,9.8,0.5,3.14,0.99232,0.035,1.3,0.34,0.28,8.1,126,11,6
NA,10.1,0.34,3.16,0.99364,0.045,6.6,0.19,0.27,6.5,175,98,6
NA,10.8,0.74,3.13,0.99214,0.037,4.2,0.29,0.22,5.9,144,69,7
blanc,9.2,0.68,3.19,0.995,0.049,5.5,0.32,0.25,6.4,176,41,6
rouge,NA,0.6,3.38,0.9946,0.067,1.7,0.43,0.25,8,50,22,6
NA,11.3,0.72,3.22,NA,0.03,2.6,0.35,0.17,6.6,78,33,6
NA,9.6,0.49,3.16,0.99556,0.043,7,0.36,0.28,6.8,207,60,6
NA,13.4,0.77,3.39,NA,0.026,2.1,0.15,0.46,5.4,130,29,8
NA,11.4,0.57,3.2,0.99166,0.042,2.2,0.28,0.3,7,177,21,5
NA,NA,0.47,3.26,0.99267,0.036,7.9,0.54,0.52,6.9,169,23,6
NA,9,0.36,2.88,0.99666,0.035,12.5,0.32,0.16,6.7,156,18,6
blanc,12.1,0.99,3.24,0.98976,0.03,NA,0.36,0.23,5.4,121,74,7
NA,12.5,0.34,3.06,0.99228,0.027,9.2,0.26,0.22,7,122,37,8
NA,10.9,0.69,3.21,0.99974,0.073,2.2,0.63,0.45,11.7,23,7,6
NA,9,0.47,3.24,0.99772,0.044,12.8,0.13,0.42,6.6,158,26,5
blanc,9.5,0.48,2.99,0.9942,0.057,3.6,0.24,0.25,6.9,85,13,4
NA,9.7,0.77,3.47,0.99661,0.047,NA,0.21,0.36,6.4,48,26,6
NA,9,0.52,3,0.99808,0.062,12.8,0.3,0.18,6.8,171,19,7
blanc,9.5,0.32,3.23,0.9927,0.039,NA,0.27,0.45,6.1,82,13,5
NA,9.4,0.57,3.42,0.9955,0.072,1.8,0.15,0.38,6.1,19,6,5
blanc,11,0.54,3.1,NA,0.054,5.4,0.35,0.18,6.8,143,53,7
NA,8.9,0.41,2.9,0.9966,0.037,NA,0.67,0.29,7.5,166,53,6
blanc,NA,0.46,3.29,0.99216,0.04,1.4,0.34,0.26,6.5,184,25,5
NA,9.6,0.44,3.16,0.9954,0.058,6.4,0.42,0.33,6.7,151,27,5
NA,12.4,0.37,2.98,0.9919,0.036,NA,0.26,0.38,6.7,91,35,6
NA,8.8,0.34,3.02,0.99808,0.037,NA,0.48,0.29,7.4,182,61.5,5
NA,NA,0.72,3.34,0.99356,0.068,2.8,0.38,0.38,7.2,42,23,7
NA,10.3,0.46,3.15,0.9927,0.038,1.4,0.27,0.24,7.2,122,31,6
blanc,11.3,0.55,3.34,0.9911,0.038,3.3,0.26,0.36,5.8,153,40,6
NA,10.9,0.36,3.25,NA,0.031,1.4,0.27,0.2,5.8,77,12,7
NA,11.6,0.35,2.96,0.998,0.028,NA,0.28,0.22,8.4,130,55,5
NA,12.8,0.63,3.1,0.98954,0.095,3,0.32,0.44,6.6,75,13,6
NA,NA,0.56,3.41,0.9958,0.069,1.6,0.2,0.45,6.2,15,3,5
rouge,12.5,0.59,4.01,0.99258,0.041,NA,0,0.74,5.4,46,16,6
rouge,9.8,0.67,3.44,0.99712,0.068,2.1,0.04,0.69,7.1,27,19,5
NA,12.8,0.59,3.33,0.9929,0.064,3,0.15,0.51,6.5,27,12,6
NA,NA,0.43,3.45,0.9954,0.041,1.8,0.28,0.14,7.9,178,44,6
NA,NA,0.45,3.24,0.99748,0.049,10.4,0.28,0.48,7.6,205,57,5
blanc,NA,0.69,3.27,0.99053,0.035,1.7,0.31,0.29,6.5,79,24,7
blanc,10.5,0.4,3.3,NA,0.05,7.1,0.22,0.41,5.6,154,44,5
rouge,9.5,0.6,3.42,0.99525,0.057,1.5,0.04,0.61,6.8,10,5,5
NA,9,0.52,3,0.99808,0.062,12.8,0.3,0.18,6.8,171,19,7
rouge,9.6,0.47,3.39,0.9966,0.092,2.1,0.03,0.835,7.3,19,10,5
NA,9.2,0.51,3.18,NA,0.06,6.2,0.22,0.3,6.8,190,41,5
NA,NA,0.41,3.3,0.9908,0.032,2.9,0.42,0.19,6.4,83,32,6
NA,12.5,0.34,3.06,NA,0.027,9.2,0.26,0.22,7,122,37,8
blanc,10.6,0.43,3.08,0.99479,0.027,6.5,0.32,0.42,9.4,167,20,5
NA,10.2,0.61,3.28,0.9932,0.03,2,0.37,0.2,7,136,26,6
NA,12.4,0.47,3.08,NA,0.034,4.8,0.28,0.32,6.8,100,25,7
blanc,9.2,0.53,3.07,0.9989,0.034,17.8,0.22,0.27,6.8,116,16,5
NA,9.7,0.68,3.33,NA,0.082,2.6,0.43,0.37,7.4,82,18,6
NA,NA,0.44,3.36,0.99299,0.036,6.9,0.28,0.265,5.7,150,46,7
blanc,NA,0.42,2.92,0.9914,0.047,1.4,0.49,0.21,6.7,114,30,7
NA,NA,0.55,3.37,0.9897,0.015,1.9,0.4,0.2,5,98,20,6
NA,11,0.54,3.38,0.99248,0.027,1.6,0.27,0.19,7.3,136,35,7
NA,9.4,0.67,3.47,0.997,0.067,2.1,0.02,0.64,7,23,9,6
NA,10.9,0.61,3.4,0.99514,0.079,2.3,0.01,0.6,7.1,37,24,6
NA,11.4,0.57,3.42,0.99099,0.022,1.4,0.3,0.15,6.3,100,38,7
blanc,NA,0.3,3.1,0.9932,0.133,1.1,0.58,0.22,6.6,136,52,5
blanc,NA,0.63,3.13,0.99076,0.029,2,0.36,0.24,7.2,63,21,6
NA,9.8,0.61,2.99,NA,0.052,1.5,0.49,0.26,6.3,134,34,6
blanc,10,0.47,3.14,0.99434,0.147,6.3,0.26,0.46,6.8,159,49,5
blanc,11,0.53,3.41,NA,0.031,1.8,0.2,0.33,6,159,49,6
NA,12,0.33,3.01,0.9922,0.031,NA,0.27,0.25,8.5,92,31,6
NA,10.6,0.26,3.07,NA,0.029,4.6,0.29,0.29,7.3,155,27,6
NA,10.8,0.42,3.33,NA,0.043,5.4,0.3,0.275,5.8,149,41,7
NA,NA,0.45,3.15,0.9936,0.05,1.8,0.36,0.19,8,84,16,7
NA,9.6,0.49,3.25,0.9938,0.093,1.5,0.34,0.17,6.4,136,43,6
NA,9.9,0.68,3.34,0.992,0.045,1.1,0.35,0.35,5.5,167,14,6
NA,NA,0.49,3.04,0.99624,0.041,11.8,0.42,0.38,7.1,193,32,6
NA,9.4,0.56,3.31,0.9976,0.061,9.2,0.36,0.38,6.6,214,42,5
rouge,NA,0.77,3.37,0.9972,0.084,2.1,0.24,0.825,8.1,13,5,6
NA,NA,0.58,3.3,0.9961,0.1,1.8,0.07,0.64,7.4,23,8,5
NA,8.8,0.4,3.4,NA,0.058,8.8,0.32,0.15,6.8,110,24,6
NA,9.7,0.53,3.1,0.99524,0.08,2.2,0.02,0.48,6.7,111,36,5
NA,12.8,0.78,3.27,0.99414,0.068,2.5,0.33,0.66,7.2,102,34,6
NA,10.2,0.4,3.16,0.99534,0.055,9.8,0.27,0.23,6.1,134,74,6
NA,NA,0.71,3.3,0.9937,0.046,5,0.14,0.35,5.6,198,48,5
NA,9,0.58,3.18,0.9993,0.084,16.8,0.41,0.46,6.5,222,59,5
NA,NA,0.44,3.38,0.992,0.034,1.6,0.3,0.16,6.6,78,15,6
blanc,NA,0.48,3.14,0.99382,0.043,6.4,0.1,0.3,5.6,142,34,5
rouge,9.3,0.59,3.12,0.9998,0.063,NA,0.48,0.53,10.3,25,6,6
NA,NA,0.36,2.93,0.9892,0.017,1.9,0.23,0.36,7.4,69,31,6
blanc,11.7,0.47,3.37,0.9917,0.032,1.6,0.34,0.31,6.9,128,23,6
NA,9.2,0.61,3.08,0.9982,0.094,NA,0.49,0.54,9,110,41,5
blanc,11.2,0.43,3.23,0.99174,0.037,4.8,0.24,0.39,6.2,138,45,7
blanc,NA,0.54,3.19,0.99592,0.037,7.4,0.36,0.33,8.1,156,36,6
NA,9.2,0.58,3.2,0.99892,0.098,NA,0.2,0.77,7.5,92,30,5
NA,9,0.38,3.07,0.9966,0.041,7.9,0.58,0.26,7.6,180,62,5
NA,10,0.62,3.35,0.9955,0.047,7.6,0.29,0.34,6.2,232,45,6
NA,9.5,0.38,3.34,0.9935,0.04,4.9,0.49,0.19,5.8,118,44,7
rouge,NA,1.18,2.99,0.99786,0.132,2.6,0.3,0.89,10.8,60,7,5
NA,9,0.36,3.38,0.9951,0.058,5.2,0.14,0.595,6.4,97,15,4
NA,NA,0.54,3.29,0.99361,0.053,1.3,0.3,0.3,6.9,186,24,4
rouge,9.3,0.51,3.39,0.99655,0.066,1.5,0.1,0.665,7.6,55,27,5
NA,9.5,0.77,3.23,0.9968,0.089,1.8,0.15,0.715,8.3,52,10,5
NA,11.3,0.35,3.14,0.9955,0.033,NA,0.49,0.43,7.8,158,37,6
rouge,9.8,0.48,3.35,0.99615,0.074,1.7,0.06,0.53,7.7,39,9,6
NA,8.7,0.57,3.03,0.9986,0.043,NA,0.26,0.25,8,248,41,6
NA,9.55,0.58,3.23,0.99288,0.058,1.2,0.18,0.28,5.8,108,7,4
NA,9.7,0.67,3.41,0.9958,0.063,NA,0.1,0.59,6.8,53,34,5
NA,NA,0.63,3.63,0.9937,0.049,2.3,0.09,0.5,5.6,99,17,5
NA,10.3,0.59,3.28,0.9955,0.058,2.4,0.39,0.27,8.3,107,16,5
blanc,13.1,0.52,3.26,0.98988,0.032,4.2,0.25,0.4,6.4,91,15,6
blanc,8.8,0.54,3.01,0.9984,0.054,12.2,0.32,0.24,7.8,138,42,5
NA,NA,0.35,3.13,0.9956,0.026,8.8,0.36,0.14,8.3,60,13,5
NA,NA,0.8,2.99,0.99873,0.043,13.9,0.64,0.37,8.2,171,22,5
NA,10.5,0.36,3.3,NA,0.027,1.4,0.26,0.445,5.9,109,23,6
NA,10.7,0.62,3.31,0.99612,0.076,1.7,0,0.78,7.6,45,33,6
NA,10,0.46,3.43,NA,0.102,3,0,1,7.2,16,7,5
blanc,11.2,0.58,3.04,0.993,0.04,5.8,0.32,0.29,6.9,112,16,5
NA,11.7,0.65,3.21,NA,0.037,2.4,0.33,0.32,7.8,101,18,7
NA,NA,0.51,3.23,0.9982,0.042,10,0.36,0.3,8.3,169,33,6
blanc,10.5,0.68,3.24,0.99165,0.034,0.8,0.36,0.21,6.6,113,48,6
NA,NA,0.4,3.26,0.9908,0.041,1.9,0.37,0.23,7.3,165,51,8
NA,9.3,0.38,3.03,0.99413,0.046,1.2,0.3,0.18,7.7,199,49,5
blanc,10.7,0.42,3.1,0.9916,0.035,1.3,0.28,0.34,6.6,90,32,6
rouge,NA,0.79,3.31,0.999,0.25,2.6,0.49,0.5,9.8,20,5,6
NA,NA,0.45,3.18,0.99475,0.061,4.1,0.31,0.36,6.5,134,20,6
NA,10.1,0.45,3.2,0.99571,0.049,NA,0.22,0.25,5.7,125,50,6
NA,9.2,0.48,3.1,1.00037,0.039,19.5,0.29,0.2,7.3,237,69,6
NA,12,0.44,3.18,0.99212,0.02,7.4,0.34,0.39,6.8,133,38,7
blanc,11,0.46,3.22,0.99296,0.031,NA,0.3,0.28,6.1,139,33,6
NA,11.1,0.72,3.07,NA,0.047,1.5,0.35,0.14,6.8,117,40,6
NA,NA,0.46,2.99,0.99254,0.041,1.2,0.19,0.24,6.5,111,30,6
NA,NA,0.65,3.17,0.99683,0.085,2.4,0.34,0.37,10.1,17,5,7
blanc,8.7,0.51,3.1,1.00044,0.085,NA,0.25,0.23,7.2,111,19,5
blanc,12.3,0.71,3.1,NA,0.033,2,0.36,0.32,7.2,114,37,7
NA,10.5,0.69,3.72,0.9963,0.06,1.7,0.31,0.205,7.3,110,34,6
blanc,NA,0.59,2.92,0.99255,0.037,4,0.6,0.19,6.9,122,6,4
NA,NA,0.52,2.95,0.9956,0.056,8.6,0.27,0.21,7.1,111,26,5
NA,12.7,0.44,3.31,0.98952,0.042,2.2,0.32,0.3,6.1,142,41,7
NA,9.3,0.5,3.18,0.99428,0.041,3.3,0.25,0.3,6.9,124,26,6
NA,10.9,0.73,3.47,0.99652,0.08,1.5,0.39,0.36,9.3,55,41,6
NA,9.4,0.71,3.16,0.99863,0.048,14.6,0.41,0.23,7.3,223,73,6
NA,9,0.6,3.32,NA,0.226,2.5,0.24,0.7,8.7,15,5,6
rouge,NA,0.74,3.48,1.0002,0.086,3,0.31,0.69,8.7,81,23,6
NA,9,0.44,3.09,0.9979,0.058,14.3,0.38,0.23,7.2,194,55,6
NA,12.4,0.5,3.27,0.99171,0.055,5,0.25,0.32,6.4,138,28,8
NA,11.1,0.59,3.54,0.9916,0.047,1.1,0.29,0.19,6,152,67,7
NA,11.6,0.8,3.29,0.99484,0.061,2.4,0.44,0.32,6.7,34,24,7
blanc,9.1,0.51,3.2,0.99675,0.034,8.9,0.22,0.56,6.6,133,27,5
NA,10.1,0.43,3.3,0.99266,0.054,1.3,0.32,0.3,6.2,183,27,5
NA,9.3,0.57,3.26,0.99675,0.073,NA,0.23,0.57,8,119,17,5
NA,NA,0.68,3.22,1.00289,0.112,6.6,0.34,0.9,10.7,99,23,5
NA,11.2,0.8,3.3,0.99576,0.064,2.1,0.32,0.37,9.1,15,4,6
NA,NA,0.63,3.25,0.99028,0.036,3.8,0.3,0.33,6.5,88,34,7
NA,NA,0.52,3.17,0.9979,0.052,12.6,0.48,0.67,6.3,222,57,6
NA,NA,0.44,3.1,0.99367,0.03,9.5,0.25,0.32,7.6,136,15,6
NA,12.3,0.48,3.34,0.99002,0.033,1.7,0.2,0.335,5.2,74,17,6
blanc,10.3,0.66,3.23,0.9924,0.04,1.6,0.36,0.28,6.8,87,25,6
NA,11.1,0.74,2.92,NA,0.095,4.2,0.49,0.645,15.5,23,10,5
NA,10.5,0.58,3.45,NA,0.09,2,0.08,0.6,6.2,44,32,5
NA,10.3,0.46,3.14,NA,0.033,11.1,0.36,0.29,7.9,208,43,5
blanc,11.2,0.59,3.11,0.99366,0.038,NA,0.38,0.29,5.8,136,49,6
NA,13,0.38,3.09,0.99116,0.03,7.5,0.25,0.27,6.9,117,18,6
NA,NA,0.73,3.15,0.99534,0.073,2,0.56,0.32,9.9,8,3,6
NA,9.2,0.84,3.07,1.00005,0.075,NA,0.44,0.21,15,24,10,7
NA,NA,0.51,3.14,0.9991,0.066,17.9,0.2,0.33,6.3,161,36,5
NA,9.4,0.49,3.16,0.99596,0.097,1.7,0.12,0.39,7.7,27,19,5
NA,NA,0.48,3.24,0.99855,0.044,16.65,0.22,0.22,5.7,110,39,6
NA,11.9,0.73,3.28,0.99545,0.084,1.6,0.42,0.29,10.8,27,19,6
NA,9.8,0.54,3.3,NA,0.049,8.1,0.38,0.18,6.9,176,44,6
NA,9.8,0.46,3.41,NA,0.045,5.2,0.31,0.12,6.8,120,29,7
NA,9.7,0.4,3.63,NA,0.065,1.5,0,0.485,5.5,103,8,4
NA,10.8,0.5,3.41,NA,0.038,2.7,0.26,0.39,6,187,39,6
NA,NA,0.43,3.37,0.9916,0.051,0.7,0.35,0.23,6.2,111,24,3
NA,11.4,0.68,3.2,0.9939,0.036,6.7,0.33,0.22,7.5,138,45,6
NA,NA,0.78,3.35,0.99947,0.051,14.5,0.39,0.18,7.1,156,48,5
NA,11.2,0.53,3.04,0.99138,0.05,2.6,0.37,0.25,7.4,132,24,6
NA,9.7,0.5,3.5,NA,0.048,2.4,0.32,0.17,6.4,200,41,6
NA,12.1,0.43,3.33,0.9909,0.033,2.1,0.3,0.26,7.2,158,50,7
NA,10,0.46,3.11,NA,0.056,1.6,0.42,0.91,10,181,34,4
NA,NA,0.45,3.39,0.99936,0.042,13.1,0.29,0.21,6,125,28,5
NA,9.4,0.5,3.36,0.9984,0.039,11.1,0.35,0.32,6.3,198,29,7
blanc,11.4,0.49,3.19,0.9917,0.031,2,0.3,0.26,7.1,128,13,5
NA,9.7,0.32,3.09,0.9981,0.037,10.7,0.35,0.23,9.2,145,34,5
NA,NA,0.4,3.04,0.99318,0.062,1.1,0.42,0.23,7,100,35,5
NA,10.3,0.66,2.92,0.99334,0.033,NA,0.24,0.32,7.2,120,23,7
NA,NA,0.38,3.16,0.99502,0.049,7.1,0.27,0.54,6.7,178,8,4
blanc,11.4,0.45,3.06,0.9915,0.048,NA,0.29,0.26,7.4,73,14,6
blanc,11.3,0.54,3.29,NA,0.043,1.9,0.36,0.2,7.6,111,24,6
NA,9.2,0.53,3.12,0.9969,0.051,NA,0.28,0.35,7.5,157,26,6
blanc,9.7,0.41,3.16,NA,0.064,15.5,0.29,0.13,7.1,115.5,56,7
NA,9.7,0.37,3.44,0.9944,0.051,NA,0.29,0.13,6.7,122,31,6
NA,10.6,0.33,3.02,0.9951,0.037,NA,0.49,0.22,8.2,154,53,6
NA,9.5,0.56,3.33,0.9958,0.074,2.1,0.01,0.51,6.8,25,9,6
rouge,12,0.77,3.33,NA,0.072,2.4,0.45,0.42,8.7,59,32,6
NA,NA,0.38,3.39,0.9978,0.057,9.6,0.3,0.16,6.9,185,50,6
NA,9.8,0.58,3.53,NA,0.08,2.2,0.03,0.63,7.2,88,17,6
NA,8.7,0.39,3.32,0.9998,0.046,17.8,0.41,0.24,7.1,145,39,5
blanc,12.4,0.43,3.37,0.98968,0.03,NA,0.3,0.24,5.7,98,25,7
NA,10.3,0.53,3.12,0.99666,0.044,NA,0.3,0.27,6,144,15,6
NA,11.8,0.42,3.42,0.991,0.033,4.75,0.38,0.32,5.7,94,23,7
NA,11.9,0.59,3.25,0.9912,0.066,NA,0.4,0.21,6.1,165,40.5,6
NA,NA,0.42,3.33,0.99173,0.04,5,0.3,0.36,7,143,40,7
NA,9.2,0.45,3,NA,0.063,14.6,0.32,0.285,7.6,201,32,5
NA,10.2,0.52,3.11,0.99393,0.056,4.8,0.32,0.21,7.5,113,39,7
NA,9.1,0.46,3.24,0.9943,0.053,4.5,0.26,0.555,6,126,17,5
NA,9.1,0.5,3.05,0.99834,0.046,14.4,0.29,0.22,6.6,118,39,6
NA,9.3,0.69,3.21,NA,0.122,2,0.52,0.785,8.1,153,37,5
NA,9.3,0.63,3.29,0.99735,0.079,2.3,0.05,0.62,7.8,18,6,5
NA,9.5,0.46,3.23,0.9977,0.047,14.7,0.28,0.34,6.3,198,49,5
NA,9.5,0.38,3.08,0.9936,0.043,1.9,0.26,0.345,7.6,134,15,5
NA,9.5,0.95,3.27,0.9934,0.036,1.3,0.36,0.18,6.9,117,40,7
NA,NA,0.5,3.57,0.99362,0.053,2.6,0.1,0.715,6.1,27,13,5
rouge,9.3,0.62,3.27,0.99592,0.078,1.6,0.14,0.56,7.1,18,7,5
NA,10.1,0.49,3.17,0.99724,0.05,10.1,0.34,0.25,8.1,121,30,6
NA,9.3,0.43,3.32,NA,0.052,2.7,0.06,0.52,5.1,79,30,5
blanc,9.1,0.49,2.93,0.9984,0.04,10.7,0.35,0.23,8.8,183,26,6
blanc,NA,0.42,3.22,0.9972,0.045,16.4,0.32,0.23,6.9,153,62,5
NA,NA,0.58,3.44,0.9962,0.076,1.6,0.07,0.705,6.6,15,6,5
NA,12.15,1.08,3.21,0.99168,0.028,5.7,0.28,0.21,6.2,121,45,7
NA,NA,0.5,3.07,0.995,0.041,9.9,0.3,0.21,6.6,174,64,6
NA,11.9,0.66,3.06,0.99222,0.024,4.6,0.36,0.3,7.8,198,20,6
NA,9.6,0.76,3.29,0.9948,0.053,1.6,0.32,0.17,7.9,150,47,6
NA,13.3,0.39,2.98,0.9918,0.033,6.6,0.42,0.43,8.1,141,36,7
rouge,9.4,0.77,3.26,0.9983,0.111,NA,0.12,0.63,7.5,110,50,5
rouge,11.5,0.84,3.3,0.99494,0.066,2.6,0.44,0.39,7.2,48,22,6
blanc,9.4,0.5,3.07,0.9954,0.03,11.75,0.27,0.235,5,118,34,6
NA,9.3,0.36,3.36,NA,0.038,0.8,0.02,0.415,5.9,63,22,5
NA,10,0.66,3.27,NA,0.04,1,0.34,0.335,5.7,174,13,5
rouge,9.3,1.07,3.32,NA,0.117,6.6,0.24,0.725,8.6,134,31,5
NA,NA,0.29,3.27,0.99815,0.04,11,0.28,0.34,7.7,117,31,6
NA,11.3,0.56,3.37,0.997,0.059,NA,0.23,0.78,8.1,15,5,5
blanc,8.6,0.48,3.16,0.9977,0.053,NA,0.31,0.34,6.1,238,46,5
NA,NA,0.55,3.29,0.9976,0.077,3,0.17,0.66,9,13,5,5
NA,11.3,0.6,3.54,0.99402,0.053,NA,0.09,0.56,6.2,32,24,5
blanc,NA,0.92,3.24,0.9924,0.054,2.3,0.31,0.13,7.3,104,22,7
NA,10.7,0.55,3.17,0.99142,0.035,1.1,0.29,0.105,6.4,140,44,7
NA,NA,0.36,3.01,0.99098,0.031,3.85,0.24,0.34,7.5,34,5,4
NA,9.2,0.43,3.01,0.9984,0.046,11.3,0.49,0.36,7.6,221,87,5
blanc,9.7,0.49,3.18,NA,0.054,14.8,0.23,0.41,7.5,174,28,5
NA,9.9,0.33,3.13,0.9932,0.037,1.4,0.3,0.21,7.1,143,45,6
NA,11.7,0.42,3.32,0.9956,0.058,12.7,0.22,0.13,5.8,183,24,6
NA,9.9,0.49,3.22,0.99418,0.047,NA,0.52,0.21,6.2,123,28,6
rouge,11.4,0.58,3.32,0.99438,0.07,1.4,0,0.44,6.9,38,32,6
blanc,8.9,0.42,3.08,NA,0.16,1.3,0.71,0.3,7.5,149,44,5
NA,11.3,0.55,3.34,0.9911,0.038,3.3,0.26,0.36,5.8,153,40,6
NA,12,0.82,3.36,NA,0.031,4.9,0.31,0.31,6.7,151,20,7
NA,10,0.49,3.11,NA,0.043,11,0.26,0.24,8.1,211,41,6
blanc,10.8,0.59,3.12,0.9909,0.033,2.6,0.38,0.315,5.5,69,10,6
NA,9.8,0.64,3.38,NA,0.079,1.7,0.19,0.49,6.9,26,13,6
NA,NA,0.52,3.39,0.99608,0.166,2,0,0.835,7.2,11,4,5
NA,NA,0.59,2.99,0.99772,0.061,11.2,0.27,0.19,7.2,149,46,6
blanc,11.7333333333333,0.64,3.04,0.99018,0.036,NA,0.41,0.24,6,118,42,6
blanc,10.5,0.56,2.98,NA,0.055,9.85,0.4,0.19,6.8,103,41,6
NA,10.9,0.39,3.17,0.99665,0.046,15.2,0.28,0.27,7.2,41,6,6
NA,9.5,0.62,3.18,0.9981,0.061,2,0.39,0.46,10.7,15,7,5
NA,10.8,0.5,3.23,0.9928,0.051,NA,0.27,0.24,7.7,190,52,6
NA,12.5,0.56,3.32,0.99128,0.04,NA,0.35,0.21,7.1,186,41,6
rouge,10.3,0.6,3.4,0.99612,0.243,2.4,0.18,0.765,6.9,48,5.5,6
NA,12.2,0.42,2.97,0.9889,0.032,1.1,0.21,0.3,6.2,111,31,6
NA,NA,0.51,3.01,0.99316,0.05,8.3,0.68,0.3,7.9,289,37.5,7
NA,11,0.53,3.41,NA,0.031,1.8,0.2,0.33,6,159,49,6
blanc,10.2,0.54,3.46,NA,0.042,2,0.29,0.25,6.8,189,19,6
NA,10.4,0.59,3.31,0.99587,0.053,7.4,0.31,0.2,7.1,211,32,6
NA,10.5,0.35,3.16,0.9928,0.057,1.4,0.24,0.31,7.2,117,17,5
NA,NA,1.09,3,0.9971,0.263,1.7,0.37,0.635,8.9,62,5,5
rouge,9.7,0.53,3.26,0.9971,0.111,2,0.57,0.31,8.9,85,26,5
blanc,NA,0.36,3.13,0.9933,0.034,1.2,0.24,0.3,6.6,121,17,5
rouge,11.4,0.55,3.18,0.99392,0.058,1.8,0.42,0.34,9.1,18,9,5
NA,12,0.51,3.38,0.99114,0.042,NA,0.26,0.46,6.8,83,28,8
NA,9.5,0.45,3.36,0.99448,0.057,1.4,0,0.5,6,26,15,5
NA,10.8,0.31,3.09,0.9897,0.027,0.8,0.37,0.19,5.9,21,3,5
NA,NA,0.77,3.39,0.9929,0.053,1.4,0.31,0.22,6.8,114,34,6
NA,11.4,0.56,3.52,0.99472,0.056,NA,0.01,0.59,6.1,13,5,5
NA,11.3,0.56,3.37,0.997,0.059,2.6,0.23,0.78,8.1,15,5,5
NA,9.4,0.62,3.28,NA,0.078,3.4,0.23,0.56,8.2,104,14,5
blanc,NA,0.48,3.66,0.99324,0.037,10.2,0.21,0.21,4.8,112,17,7
NA,10,0.36,3.48,0.9986,0.045,14.5,0.44,0.445,7.6,212,68,6
NA,8.8,0.49,3.12,0.9988,0.055,15.4,0.24,0.35,7.1,198,46,5
blanc,12.8,0.67,3.29,0.9917,0.034,NA,0.39,0.57,8,122,22,7
blanc,9.7,0.58,3.31,0.99794,0.04,NA,0.39,0.42,6.7,248,61,5
NA,12.6,0.46,3.18,0.99126,0.025,6.6,0.3,0.43,7.1,138,15,6
rouge,NA,0.51,3.37,0.9966,0.077,3,0.19,0.49,7.4,37,16,5
rouge,9.3,1.28,3.11,0.9968,0.368,NA,0.28,0.56,8.1,56,16,5
NA,12.2,0.58,3.41,0.9926,0.041,6.5,0.49,0.28,7.1,111,28,8
NA,9.5,0.6,3,0.99782,0.048,13.55,0.28,0.36,6.9,189,51,7
NA,11,0.52,3.13,0.9908,0.039,NA,0.35,0.25,6.9,191,29,6
NA,9.5,0.95,3.27,NA,0.036,1.3,0.36,0.18,6.9,117,40,7
NA,10.6,0.33,3,0.99445,0.036,11.5,0.22,0.28,6.3,150,27,6
NA,10,0.54,2.85,0.99368,0.032,4.9,0.49,0.24,9.7,18,3,6
rouge,11.3,0.63,3.44,0.99538,0.123,NA,0,0.64,6.8,33,15,6
NA,9.5,0.41,3.21,0.9936,0.049,NA,0.1,0.34,6.8,118,29,5
NA,NA,0.57,3.28,0.99246,0.034,1.4,0.28,0.33,7.2,109,26,6
NA,9,0.43,2.94,NA,0.05,17.55,0.28,0.17,7.2,154,33,7
blanc,10.6,0.43,2.91,0.99516,0.032,12.6,0.2,0.41,6.1,136,54,6
NA,NA,0.64,3.08,0.98889,0.032,1.3,0.28,0.24,5.9,95,36,7
